version,partner_id,name,tags,description,ready_behavior,deleted_at,is_default,format,video_codec,video_bitrate,audio_codec,audio_bitrate,audio_channels,audio_sample_rate,audio_resolution,width,height,frame_rate,gop_size,two_pass,conversion_engines,conversion_engines_extra_params,custom_data,view_order,creation_mode
"0","0","HD","web,mbr","High Definition","2",\N,"1","flv","vp6","4000","mp3","192","0","0","0","0","1080","0","0","0","1,4,2,99,3","--FE2_VP6_MIN_Q=5",\N,"0","1"
"0","0","High - Large","web,mbr","High web quality, large frame","2",\N,"1","flv","vp6","2500","mp3","128","0","0","0","0","720","0","0","0","1,4,2,99,3","--FE2_VP6_MIN_Q=5",\N,"0","1"
"0","0","Standard - Large","web,mbr","Standard web quality, large frame","2",\N,"1","flv","vp6","1350","mp3","96","0","0","0","0","720","0","0","0","1,4,2,99,3","",\N,"0","1"
"0","0","Standard - Small","web,mbr","Standard web quality, small frame","2",\N,"1","flv","vp6","750","mp3","96","0","0","0","0","288","0","0","0","1,4,2,99,3","",\N,"0","1"
"0","0","Basic - Small","web,mbr","Basic web quality, small frame","2",\N,"1","flv","vp6","400","mp3","96","0","0","0","0","288","0","0","0","1,4,2,99,3","",\N,"0","1"
"0","0","HQ MP4 for Export","mp4_export,web","High web quality in MP4 format, for download or syndication","0",\N,"1","mp4","h264","2500","aac","128","0","0","0","0","720","0","0","0","1,4,2","",\N,"0","1"
"0","0","Audio-only","audio_only_export,web","Audio-only","0",\N,"1","flv","","0","mp3","96","2","44100","0","0","0","0","0","0","2,99","",\N,"0","1"
"0","0","Editable","edit,web","Good web quality, for editable content","0",\N,"1","flv","vp6","700","mp3","64","0","0","0","0","480","0","5","0","1,4,2,99,3","",\N,"0","1"
"0","0","Source","source","Maintains the original format and settings of the file â€“ duplicate of the source file","0",\N,"1","","","0","","0","0","0","0","0","0","0","0","0","","",\N,"0","1"
"0","0","HQ AVI for Export","avi_export","High web quality in AVI format, for download or syndication","0",\N,"1","avi","h264","2500","mp3","128","0","0","0","0","720","0","0","0","2,3,4","",\N,"0","1"
"0","0","HQ MOV for Export","mov_export","High web quality in MOV format, for download or syndication","0",\N,"1","mov","h264","2500","aac","128","0","0","0","0","720","0","0","0","2,3,4","",\N,"0","1"
"0","-1","Basic - Small (H264)","web,mbr","","2",\N,"0","mp4","h264","400","aac","96","0","0","0","0","288","0","0","0","2,1,4","",\N,"0","1"
"0","-1","Standard - Small (H264)","web,mbr","","2",\N,"0","mp4","h264","750","aac","96","0","0","0","0","288","0","0","0","2,1,4","",\N,"0","1"
"0","-1","Standard - Large (H264)","web,mbr\
","","2",\N,"0","mp4","h264","1350","aac","96","0","0","0","0","720","0","0","0","2,1,4","",\N,"0","1"
"0","-1","High - Large (H264)","web,mbr	\
","","2",\N,"0","mp4","h264","2500","aac","128","0","0","0","0","720","0","0","0","2,1,4","",\N,"0","1"
"0","-1","HD (H264)","web,mbr","","2",\N,"0","mp4","h264","4000","aac","192","0","0","0","0","1080","0","0","0","2,1,4","",\N,"0","1"
